CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
7/23/2023,17:30,QUEENS,11362,40.768795,-73.73708,"(40.768795, -73.73708)",251 STREET,NORTHERN BOULEVARD,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4647806,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
7/21/2023,23:20,BROOKLYN,11203,40.653786,-73.94411,"(40.653786, -73.94411)",,,826       BROOKLYN AVENUE,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,4648495,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
6/10/2023,13:44,MANHATTAN,10033,40.85209,-73.93078,"(40.85209, -73.93078)",,,567       WEST 186 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4648426,Station Wagon/Sport Utility Vehicle,,,,
7/19/2023,9:40,BRONX,10455,40.817513,-73.91712,"(40.817513, -73.91712)",MELROSE AVENUE,EAST 151 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4648447,Bus,Sedan,,,
7/13/2023,18:22,STATEN ISLAND,10312,40.544632,-74.19527,"(40.544632, -74.19527)",,,901       WOODROW ROAD,1,0,0,0,0,0,1,0,Animals Action,,,,,4648721,Station Wagon/Sport Utility Vehicle,,,,
7/18/2023,13:04,BRONX,10467,40.882153,-73.878136,"(40.882153, -73.878136)",EAST 211 STREET,BAINBRIDGE AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4648488,Pick-up Truck,Pick-up Truck,,,
7/23/2023,15:44,BROOKLYN,11226,40.652927,-73.959335,"(40.652927, -73.959335)",CATON AVENUE,FLATBUSH AVENUE,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4648581,Box Truck,Taxi,,,
7/23/2023,20:41,,,40.574802,-73.97353,"(40.574802, -73.97353)",SURF AVENUE,WEST 5 STREET,,2,0,0,0,0,0,2,0,Turning Improperly,Failure to Yield Right-of-Way,,,,4648153,Sedan,Moped,,,
7/18/2023,15:30,,,40.74942,-73.940544,"(40.74942, -73.940544)",42 ROAD,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4648555,Sedan,,,,
7/23/2023,19:59,MANHATTAN,10024,40.788315,-73.9765,"(40.788315, -73.9765)",WEST 86 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4648199,Bus,Taxi,,,
7/23/2023,1:46,,,40.735424,-73.974754,"(40.735424, -73.974754)",FDR DRIVE,EAST 23 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,,,,,4648002,Station Wagon/Sport Utility Vehicle,Sedan,,,
5/17/2023,22:00,MANHATTAN,10034,40.85891,-73.922966,"(40.85891, -73.922966)",DYCKMAN STREET,HARLEM RIVER DRIVE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4648401,Sedan,,,,
7/23/2023,20:40,,,40.606457,-73.76098,"(40.606457, -73.76098)",MOTT AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4648616,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
4/29/2023,18:27,,,,,,WESTMINISTER ROAD,DITMAS AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4624470,Station Wagon/Sport Utility Vehicle,,,,
7/9/2023,22:22,,,40.902958,-73.896416,"(40.902958, -73.896416)",BROADWAY,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4644472,Sedan,Sedan,,,
11/27/2023,15:00,,,40.73809,-73.904594,"(40.73809, -73.904594)",60 STREET,LAUREL HILL BOULEVARD,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,,,,4682743,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
12/9/2023,11:49,QUEENS,11419,40.682827,-73.82725,"(40.682827, -73.82725)",,,107-36    114 STREET,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,,,,4686105,Sedan,Sedan,,,
12/11/2023,10:05,,,40.698544,-73.96236,"(40.698544, -73.96236)",BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4686619,Sedan,Sedan,,,
12/22/2023,15:30,,,40.772045,-73.87623,"(40.772045, -73.87623)",GRAND CENTRAL PARKWAY,94 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4689877,Sedan,,,,
12/11/2023,17:40,,,40.894653,-73.882484,"(40.894653, -73.882484)",MAJOR DEEGAN EXPRESSWAY,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4686895,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
12/15/2023,16:40,,,40.8375,-73.91061,"(40.8375, -73.91061)",EAST 170 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4687810,Sedan,Bus,,,
12/13/2023,12:00,QUEENS,11354,40.76394,-73.828156,"(40.76394, -73.828156)",UNION STREET,NORTHERN BOULEVARD,,1,0,1,0,0,0,0,0,Unspecified,,,,,4687041,Station Wagon/Sport Utility Vehicle,,,,
12/7/2023,10:20,MANHATTAN,10012,40.728016,-74.000015,"(40.728016, -74.000015)",,,184       THOMPSON STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4687781,Station Wagon/Sport Utility Vehicle,,,,
12/12/2023,14:11,MANHATTAN,10029,40.791744,-73.94717,"(40.791744, -73.94717)",,,127       EAST 105 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4687434,Station Wagon/Sport Utility Vehicle,,,,
12/13/2023,16:30,BROOKLYN,11233,40.679184,-73.920586,"(40.679184, -73.920586)",,,29        MACDOUGAL STREET,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4687156,Sedan,,,,
