year,ct2010,bbl,year_built,BldgClass,NumFloors,canopy_change_class,UnitsRes,ground_elevation,height_roof,weather_normalized_site_eui,tree_count,commercial_floor_flag,year_built_bracket,log_eui,sqrt_eui,log_tree_count,sqrt_tree_count
2010,6800,1008770060,1977,D6,6.0,No Change,84.0,20.0,87.52,29.3,10,1,1950-1980,3.4111477125153233,5.412947441089743,2.3978952727983707,3.1622776601683795
2010,6800,1008820028,1939,D1,6.0,Loss,77.0,30.0,64.61,77.3,14,0,Pre-1950,4.360547602996758,8.792041856133306,2.70805020110221,3.7416573867739413
2010,6900,1006020010,2003,D6,6.0,No Change,136.0,12.0,96.33016465,87.8,26,1,Post-1980,4.486386649998124,9.370165420097983,3.295836866004329,5.0990195135927845
2010,6900,2024180033,2005,D1,5.0,Gain,167.0,36.0,48.0,94.9,44,0,Post-1980,4.563305981889393,9.741663102366044,3.8066624897703196,6.6332495807108
2010,7300,2026230180,1937,D1,6.0,No Change,103.0,49.0,69.87,113.9,17,0,Pre-1950,4.74406218485471,10.67239429556461,2.8903717578961645,4.123105625617661
2010,7300,2026420070,2004,D1,6.0,No Change,83.0,38.0,58.0,88.6,28,0,Post-1980,4.4953553199808844,9.412757300600074,3.367295829986474,5.291502622129181
2010,7500,1006340047,1905,D5,6.0,No Change,62.0,16.0,88.96999999999998,81.2,10,0,Pre-1950,4.409155302062135,9.011104260855047,2.3978952727983707,3.1622776601683795
2010,7500,1006370081,1987,D4,6.0,No Change,75.0,10.0,58.6,63.9,29,0,Post-1980,4.1728476237100445,7.993747556684537,3.4011973816621555,5.385164807134504
2010,7600,2038940005,1928,D6,6.0,Gain,59.0,32.0,64.55,138.2,4,1,Pre-1950,4.935911747900319,11.755849607748475,1.6094379124341003,2.0
2010,7800,1009150046,1942,D4,6.0,No Change,59.0,22.0,64.19,85.7,10,0,Pre-1950,4.462453883786496,9.257429448826494,2.3978952727983707,3.1622776601683795
2010,7800,2038010001,1929,D1,6.0,No Change,91.0,20.0,71.17,157.3,16,0,Pre-1950,5.064491966886966,12.541929676090518,2.833213344056216,4.0
2010,7900,1006350026,1949,D1,6.0,Loss,90.0,14.0,65.85,67.5,33,0,Pre-1950,4.22683374526818,8.215838362577491,3.5263605246161616,5.744562646538029
2010,8100,1007910078,1920,D9,6.0,No Change,68.0,27.0,77.48,83.3,7,0,Pre-1950,4.4343818650078095,9.126883367283709,2.0794415416798357,2.6457513110645907
2010,8300,2026030035,1929,D1,6.0,Gain,72.0,33.0,62.62478583,73.3,14,0,Pre-1950,4.308110951723713,8.561541917201597,2.70805020110221,3.7416573867739413
2010,8500,2027200030,1925,C1,6.0,Gain,58.0,33.0,61.81,39.8,15,0,Pre-1950,3.708682081410116,6.308724118235001,2.772588722239781,3.872983346207417
2010,8500,2027200093,1922,D1,6.0,No Change,50.0,36.0,63.82,73.8,15,0,Pre-1950,4.314817884980432,8.590692637965812,2.772588722239781,3.872983346207417
2010,8603,1013630020,1930,D4,6.0,No Change,38.0,39.0,72.01,71.4,28,0,Pre-1950,4.282206299391671,8.449852069711044,3.367295829986474,5.291502622129181
2010,8700,1007960007,1938,D4,6.0,No Change,60.0,30.0,64.54,80.4,7,0,Pre-1950,4.399375273008495,8.966604708583958,2.0794415416798357,2.6457513110645907
2010,8700,2027120023,1910,D1,6.0,No Change,48.0,39.0,67.09,149.4,25,0,Pre-1950,5.0132984115157395,12.222929272478018,3.258096538021482,5.0
2010,9100,1007990035,1958,D4,6.0,No Change,80.0,34.0,60.53338611,39.2,11,0,1950-1980,3.6938669956249757,6.260990336999411,2.4849066497880004,3.3166247903554
2010,9200,2038050043,1930,D1,6.0,No Change,88.0,36.0,64.92,98.5,10,0,Pre-1950,4.600157644164547,9.924716620639604,2.3978952727983707,3.1622776601683795
2010,11000,1014370041,1949,D1,6.0,No Change,90.0,50.0,67.6,69.3,12,0,Pre-1950,4.252771798816619,8.324662155306964,2.5649493574615367,3.4641016151377544
2010,11600,1014600022,1915,C1,6.0,No Change,82.0,27.0,62.16,76.3,20,0,Pre-1950,4.3476939555933765,8.734987120768983,3.044522437723423,4.47213595499958
2010,12300,2029760082,1912,D7,5.0,No Change,39.0,50.0,55.71,25.0,8,1,Pre-1950,3.258096538021482,5.0,2.1972245773362196,2.8284271247461903
2010,12300,2029760092,1911,D7,5.0,No Change,56.0,48.0,52.9,116.0,9,1,Pre-1950,4.762173934797756,10.770329614269007,2.302585092994046,3.0
2010,12600,1014450035,1940,D6,6.0,No Change,58.0,51.0,61.874113460000004,29.1,16,1,Pre-1950,3.40452517175483,5.394441583704471,2.833213344056216,4.0
2010,12600,1014460014,1940,D7,6.0,No Change,54.0,47.0,65.63,22.6,17,1,Pre-1950,3.1612467120315646,4.753945729601885,2.8903717578961645,4.123105625617661
2010,12700,1010570141,1930,C4,5.0,No Change,54.0,45.0,55.92,100.0,12,0,Pre-1950,4.61512051684126,10.0,2.5649493574615367,3.4641016151377544
2010,12700,1010580016,1901,C4,4.0,No Change,39.0,44.0,55.0,65.0,15,0,Pre-1950,4.189654742026425,8.06225774829855,2.772588722239781,3.872983346207417
2010,12900,1010760015,1920,D1,6.0,No Change,49.0,26.0,62.46,87.1,10,0,Pre-1950,4.478472532942134,9.332738076256078,2.3978952727983707,3.1622776601683795
2010,13200,1014890008,1900,C6,6.0,No Change,192.0,21.0,70.57,113.1,37,0,Pre-1950,4.73707525686803,10.634848376916334,3.6375861597263857,6.082762530298219
