source_url,job_title,state,state_abbr,annual_salary_usd,monthly_pay_usd,weekly_pay_usd,hourly_wage_usd,rank
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Montana,MT,133797,11149,2573,64.33,39
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Utah,UT,132707,11058,2552,63.8,40
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,North Carolina,NC,132478,11039,2547,63.69,41
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Tennessee,TN,132306,11025,2544,63.61,42
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Alabama,AL,132126,11010,2540,63.52,43
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Kansas,KS,130007,10833,2500,62.5,44
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Michigan,MI,127054,10587,2443,61.08,45
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Kentucky,KY,126607,10550,2434,60.87,46
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Louisiana,LA,124654,10387,2397,59.93,47
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Georgia,GA,123088,10257,2367,59.18,48
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Arkansas,AR,120540,10045,2318,57.95,49
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,West Virginia,WV,112852,9404,2170,54.26,50
https://www.ziprecruiter.com/Salaries/What-Is-the-Average-Lead-DATA-Architect-Salary-by-State,Lead Data Architect,Florida,FL,108935,9077,2094,52.37,51
