,,,,,,,,,,,,2024 Audi e-tron GT,,,,,,,,,,,,,,,,,2024 Audi e-tron GT,,,,,,,,,,,,,,,,2024 Audi e-tron GT,,,,,,,,,,,,,,,2024 Audi e-tron GT,,,,,,,,,,,,,, ,,2024 Audi e-tron GT,,,,,, ,,,,,,,,,,2024 Audi e-tron GT,,,,,,,,,,,,,,,,,2024 Audi e-tron GT,,,,,,,,,,,,,,,,,2024 Audi e-tron GT,,,,,,,,,,,,,, ,2024 Audi e-tron GT,,,,,,,,,,,,,,,2024 Audi e-tron GT,,,,,,,,,
2024,Volkswagen Group of,Audi,e-tron GT,VGA,352,0.0,,Auto(A2),85,85,85,120.7182,120.4279,120.5874,84.9637,84.7721,84.8774,,,,A,Automatic,EV direct drive,2,N,N,A,All Wheel Drive,,,249,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,101,11,,,900,900,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,6/9/2023,33252,,N,N,,,N,N,,,,,,,,Battery(s),,33,Lithium Ion,,723,129.2,148.3,Off-Board,,,Electrical Regen Brake,,Both,Y,,,,"Front Axle: 175 kW motor, Rear Axle: 320 kW motor (e-tron GT) or 335 kW motor (RS e-tron GT). Both models use the same front axle motor.",3,Other,3 Phase PSM,175,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RVGAV00.0NZG,10,,,,,,,,,,,,,,,5250,,0,0,0,,10.5,,,,,,249,249,249,
2024,Volkswagen Group of,Audi,e-tron GT,VGA,352,0.0,,Auto(A2),40,40,40,27.9223,27.9838,27.95,39.6698,39.7595,39.7102,,,,A,Automatic,EV direct drive,2,N,N,A,All Wheel Drive,,,249,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,101,11,,,900,900,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,6/9/2023,33252,,N,N,,,N,N,,,,,,,,Battery(s),,33,Lithium Ion,,723,129.2,148.3,Off-Board,,,Electrical Regen Brake,,Both,Y,,,,"Front Axle: 175 kW motor, Rear Axle: 320 kW motor (e-tron GT) or 335 kW motor (RS e-tron GT). Both models use the same front axle motor.",3,Other,3 Phase PSM,320,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RVGAV00.0NZG,10,,,,,,,,,,,,,,,5250,,0,0,0,,10.5,,,,,,249,249,249,
,,,,,,,,,,,,2024 Audi RS e-tron GT,,,,,,,,,,,,,,,,,2024 Audi RS e-tron GT,,,,,,,,,,,,,,,,2024 Audi RS e-tron GT,,,,,,,,,,,,,,,2024 Audi RS e-tron GT,,,,,,,,,,,,,, ,,2024 Audi RS e-tron GT,,,,,, ,,,,,,,,,,2024 Audi RS e-tron GT,,,,,,,,,,,,,,,,,2024 Audi RS e-tron GT,,,,,,,,,,,,,,,,,2024 Audi RS e-tron GT,,,,,,,,,,,,,, ,2024 Audi RS e-tron GT,,,,,,,,,,,,,,,2024 Audi RS e-tron GT,,,,,,,,,
2024,Volkswagen Group of,Audi,RS e-tron GT,VGA,353,0.0,,Auto(A2),85,85,85,120.7182,120.4279,120.5874,84.9637,84.7721,84.8774,,,,A,Automatic,EV direct drive,2,N,N,A,All Wheel Drive,,,249,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,101,11,,,900,900,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,6/9/2023,33253,,N,N,,,N,N,,,,,,,,Battery(s),,33,Lithium Ion,,723,129.2,148.3,Off-Board,,,Electrical Regen Brake,,Both,Y,,,,"Front Axle: 175 kW motor, Rear Axle: 320 kW motor (e-tron GT) or 335 kW motor (RS e-tron GT). Both models use the same front axle motor.",3,Other,3 Phase PSM,175,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RVGAV00.0NZG,10,,,,,,,,,,,,,,,5250,,0,0,0,,10.5,,,,,,249,249,249,
2024,Volkswagen Group of,Audi,RS e-tron GT,VGA,353,0.0,,Auto(A2),40,40,40,27.9223,27.9838,27.95,39.6698,39.7595,39.7102,,,,A,Automatic,EV direct drive,2,N,N,A,All Wheel Drive,,,249,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,101,11,,,900,900,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,6/9/2023,33253,,N,N,,,N,N,,,,,,,,Battery(s),,33,Lithium Ion,,723,129.2,148.3,Off-Board,,,Electrical Regen Brake,,Both,Y,,,,"Front Axle: 175 kW motor, Rear Axle: 320 kW motor (e-tron GT) or 335 kW motor (RS e-tron GT). Both models use the same front axle motor.",3,Other,3 Phase PSM,320,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RVGAV00.0NZG,10,,,,,,,,,,,,,,,5250,,0,0,0,,10.5,,,,,,249,249,249,
,,,,,,,,,,,,2024 Audi Q4 40 e-tron,,,,,,,,,,,,,,,,,2024 Audi Q4 40 e-tron,,,,,,,,,,,,,,,,2024 Audi Q4 40 e-tron,,,,,,,,,,,,,,,2024 Audi Q4 40 e-tron,,,,,,,,,,,,,, ,,2024 Audi Q4 40 e-tron,,,,,, ,,,,,,,,,,2024 Audi Q4 40 e-tron,,,,,,,,,,,,,,,,,2024 Audi Q4 40 e-tron,,,,,,,,,,,,,,,,,2024 Audi Q4 40 e-tron,,,,,,,,,,,,,, ,2024 Audi Q4 40 e-tron,,,,,,,,,,,,,,,2024 Audi Q4 40 e-tron,,,,,,,,,
2024,Volkswagen Group of,Audi,Q4 40 e-tron,VGA,360,0.0,,Auto(A1),112,94,103,159.8,134.4,148.37,111.86,94.08,103.0925,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,265,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,750,750,,,,,,,,,,,,,,,,,,,,,,,32,Standard SUV 2WD,,Electric Vehicle 2-cycle label,4/28/2023,33009,,N,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,352,234,166.3,Off-Board,,,Electrical Regen Brake,,Rear Wheels,Y,,,,,1,Other,3 Phase PSM,150,,,,,N,Y,,,N,No,Q4 e-tron RWD,,,,,,,,,,10,10,,RVGAV00.0NZ4,10,,,,,,,,,,,,,,,6000,,0,0,0,,9,,,,,,285,240,265,
2024,Volkswagen Group of,Audi,Q4 40 e-tron,VGA,360,0.0,,Auto(A1),30,36,33,21.0971,25.0759,22.7193,30.1314,35.8259,32.6939,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,265,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,750,750,,,,,,,,,,,,,,,,,,,,,,,32,Standard SUV 2WD,,Electric Vehicle 2-cycle label,4/28/2023,33009,,N,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,352,234,166.3,Off-Board,,,Electrical Regen Brake,,Rear Wheels,Y,,,,,1,Other,3 Phase PSM,150,,,,,N,Y,,,N,No,Q4 e-tron RWD,,,,,,,,,,10,10,,RVGAV00.0NZ4,10,,,,,,,,,,,,,,,6000,,0,0,0,,9,,,,,,285,240,265,
,,,,,,,,,,,,2024 Audi Q4 50 e-tron quattro,,,,,,,,,,,,,,,,,2024 Audi Q4 50 e-tron quattro,,,,,,,,,,,,,,,,2024 Audi Q4 50 e-tron quattro,,,,,,,,,,,,,,,2024 Audi Q4 50 e-tron quattro,,,,,,,,,,,,,, ,,2024 Audi Q4 50 e-tron quattro,,,,,, ,,,,,,,,,,2024 Audi Q4 50 e-tron quattro,,,,,,,,,,,,,,,,,2024 Audi Q4 50 e-tron quattro,,,,,,,,,,,,,,,,,2024 Audi Q4 50 e-tron quattro,,,,,,,,,,,,,, ,2024 Audi Q4 50 e-tron quattro,,,,,,,,,,,,,,,2024 Audi Q4 50 e-tron quattro,,,,,,,,,
2024,Volkswagen Group of,Audi,Q4 50 e-tron quattro,VGA,358,0.0,,Auto(A1),97,87,93,139.1,124.8,132.2793,97.37,87.36,92.5955,,,,A,Automatic,EV direct drive,1,N,N,A,All Wheel Drive,,,236,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,800,800,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,4/28/2023,33007,,N,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,352,234,166.3,Off-Board,,,Electrical Regen Brake,,Both,Y,,,,"Front Motor EBRA, Rear Motor EBJA. Total combined power rating : 220Kw.",2,Other,3 Phase Asynchron Drive Motor,80,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,RVGAJ00.0NZ5,10,,,,,,,,,,,,,,,5750,,0,0,0,,9,,,,,,247,222,236,
