2024,BMW,BMW,iX xDrive50 (22'' Wheels),BMX,122,0.0,,Auto(A1),41,41,41,28.7845,28.8388,28.8089,40.7958,40.8656,40.8272,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,307,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,T,Truck,,,,,,,900,900,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,4/1/2023,32952,,N,N,,,N,N,,,,,,,,Battery(s),,11,Lithium Ion,,369,303,174,On-Board,,,Electrical Regen Brake,,Both,N,,,,"iX xDrive50: Number of Battery Packs 11, Battery Energy Capacity 303 Ah, Total Voltage of Battery Pack(s) 369 V, Battery Specific Energy 174 Wh/kg, Motor/Generator Type 1: EESM 190 kW, Motor/Generator Type 2: EESM 230 kW; iX xDrive40: Number of Battery Packs 5, Battery Energy Capacity 232 Ah, Total Voltage of Battery Pack(s) 330 V, Battery Specific Energy 147 Wh/kg, Motor/Generator Type 1: EESM 190 kW, Motor/Generator Type 2: EESM 200 kW; Motor/Generator Type: externally excited synchronuous machine (EESM)",2,Other,EESM,190,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RBMXT00.0I2M,10,,,,,,,,,,,,,,,5250,,0,0,0,,11,,,,,,307,307,307,
,,,,,,,,,,,,2024 Rimac Nevera,,,,,,,,,,,,,,,,,2024 Rimac Nevera,,,,,,,,,,,,,,,,2024 Rimac Nevera,,,,,,,,,,,,,,,2024 Rimac Nevera,,,,,,,,,,,,,, ,,2024 Rimac Nevera,,,,,, ,,,,,,,,,,2024 Rimac Nevera,,,,,,,,,,,,,,,,,2024 Rimac Nevera,,,,,,,,,,,,,,,,,2024 Rimac Nevera,,,,,,,,,,,,,, ,2024 Rimac Nevera,,,,,,,,,,,,,,,2024 Rimac Nevera,,,,,,,,,
2024,Bugatti Rimac LLC,Bugatti Rimac,Nevera,BGR,777,0.0,,Auto(A1),52,54,53,75,77.5,76.1047,52.5,54.25,53.2733,,,,A,Automatic,,1,N,N,4,4-Wheel Drive,,,204,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,45,4,,,,,1400,1400,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Electric Vehicle 5-cycle label,8/29/2023,34621,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,800,192,168,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,4,AC Induction,,226,,,,,N,Y,,,N,No,NEVERA,,,,,,,,,,8,10,,RBGRV00.0CJP,10,,,,,,,,,,,,,,,2750,,0,0,0,,17.6,,,,,,201,208,204,
2024,Bugatti Rimac LLC,Bugatti Rimac,Nevera,BGR,777,0.0,,Auto(A1),64,62,63,44.9314,43.5117,44.2925,64.2,62.129,63.2681,,,,A,Automatic,,1,N,N,4,4-Wheel Drive,,,204,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,45,4,,,,,1400,1400,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Electric Vehicle 5-cycle label,8/29/2023,34621,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,800,192,168,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,4,AC Induction,,226,,,,,N,Y,,,N,No,NEVERA,,,,,,,,,,8,10,,RBGRV00.0CJP,10,,,,,,,,,,,,,,,2750,,0,0,0,,17.6,,,,,,201,208,204,
,,,,,,,,,,,,2024 Cadillac LYRIQ,,,,,,,,,,,,,,,,,2024 Cadillac LYRIQ,,,,,,,,,,,,,,,,2024 Cadillac LYRIQ,,,,,,,,,,,,,,,2024 Cadillac LYRIQ,,,,,,,,,,,,,, ,,2024 Cadillac LYRIQ,,,,,, ,,,,,,,,,,2024 Cadillac LYRIQ,,,,,,,,,,,,,,,,,2024 Cadillac LYRIQ,,,,,,,,,,,,,,,,,2024 Cadillac LYRIQ,,,,,,,,,,,,,, ,2024 Cadillac LYRIQ,,,,,,,,,,,,,,,2024 Cadillac LYRIQ,,,,,,,,,
2024,General Motors,Cadillac,LYRIQ,GMX,182,0.0,,Auto(A1),95,82,88,135.1,117.2,126.4119,94.57,82.04,88.4883,,,,A,Automatic,A1,1,N,N,R,"2-Wheel Drive, Rear",,,314,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,105,24,,,850,850,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,4/22/2023,33010,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,298,157,Both On-Board and Off-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,Other,AC PERMANANT MAGNET,255,,,,,N,Y,,,N,No,Lyriq 450E,,,,,,,,,,9,10,,RGMXT00.0006,10,,,,,,,,,,,,,,,5500,,0,0,0,,6.5,,,,,,334,290,314,
2024,General Motors,Cadillac,LYRIQ,GMX,182,0.0,,Auto(A1),36,41,38,24.9471,28.7467,26.6569,35.6403,41.0836,38.0898,,,,A,Automatic,A1,1,N,N,R,"2-Wheel Drive, Rear",,,314,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,105,24,,,850,850,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,4/22/2023,33010,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,298,157,Both On-Board and Off-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,Other,AC PERMANANT MAGNET,255,,,,,N,Y,,,N,No,Lyriq 450E,,,,,,,,,,9,10,,RGMXT00.0006,10,,,,,,,,,,,,,,,5500,,0,0,0,,6.5,,,,,,334,290,314,
,,,,,,,,,,,,2024 Cadillac LYRIQ AWD,,,,,,,,,,,,,,,,,2024 Cadillac LYRIQ AWD,,,,,,,,,,,,,,,,2024 Cadillac LYRIQ AWD,,,,,,,,,,,,,,,2024 Cadillac LYRIQ AWD,,,,,,,,,,,,,, ,,2024 Cadillac LYRIQ AWD,,,,,, ,,,,,,,,,,2024 Cadillac LYRIQ AWD,,,,,,,,,,,,,,,,,2024 Cadillac LYRIQ AWD,,,,,,,,,,,,,,,,,2024 Cadillac LYRIQ AWD,,,,,,,,,,,,,, ,2024 Cadillac LYRIQ AWD,,,,,,,,,,,,,,,2024 Cadillac LYRIQ AWD,,,,,,,,,
2024,General Motors,Cadillac,LYRIQ AWD,GMX,180,0.0,,Auto(A1),96,81,89,137.2,116,126.7739,96.04,81.2,88.7417,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,307,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,105,24,,,850,850,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,4/15/2024,33103,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,297.9,162,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,Other,AC PERMANANT MAGNET,155,,,,,N,Y,,,N,No,Lyriq AWD,,,,,,,,,,9,10,,RGMXJ00.0017,10,,,,,,,,,,,,,,,5500,,0,0,0,,6.7,,,,,,330,279,307,
2024,General Motors,Cadillac,LYRIQ AWD,GMX,180,0.0,,Auto(A1),35,42,38,24.558,29.0447,26.5771,35.0948,41.5086,37.981,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,307,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,105,24,,,850,850,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,4/15/2024,33103,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,297.9,162,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,Other,AC PERMANANT MAGNET,155,,,,,N,Y,,,N,No,Lyriq AWD,,,,,,,,,,9,10,,RGMXJ00.0017,10,,,,,,,,,,,,,,,5500,,0,0,0,,6.7,,,,,,330,279,307,
,,,,,,,,,,,,2024 Chevrolet Blazer EV AWD,,,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV AWD,,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV AWD,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV AWD,,,,,,,,,,,,,, ,,2024 Chevrolet Blazer EV AWD,,,,,, ,,,,,,,,,,2024 Chevrolet Blazer EV AWD,,,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV AWD,,,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV AWD,,,,,,,,,,,,,, ,2024 Chevrolet Blazer EV AWD,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV AWD,,,,,,,,,
2024,General Motors,Chevrolet,BLAZER EV AWD,GMX,183,0.0,,Auto(A1),103,88,96,147.5,125.5,136.7153,103.25,87.85,95.7007,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,279,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,105,24,,,800,800,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,8/2/2023,33605,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,335,298,156,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,AC Induction,,67 and 67,,,,,N,Y,,,N,No,Blazer EV AWD,,,,,,,,,,10,10,,RGMXT00.0014,10,,,,,,,,,,,,,,,5750,,0,0,0,,9.5,,,,,,299,254,279,
2024,General Motors,Chevrolet,BLAZER EV AWD,GMX,183,0.0,,Auto(A1),33,38,35,22.8478,26.8532,24.6502,32.6441,38.3665,35.2192,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,279,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,105,24,,,800,800,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,8/2/2023,33605,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,335,298,156,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,AC Induction,,67 and 67,,,,,N,Y,,,N,No,Blazer EV AWD,,,,,,,,,,10,10,,RGMXT00.0014,10,,,,,,,,,,,,,,,5750,,0,0,0,,9.5,,,,,,299,254,279,
,,,,,,,,,,,,2024 Chevrolet Blazer EV RWD,,,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV RWD,,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV RWD,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV RWD,,,,,,,,,,,,,, ,,2024 Chevrolet Blazer EV RWD,,,,,, ,,,,,,,,,,2024 Chevrolet Blazer EV RWD,,,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV RWD,,,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV RWD,,,,,,,,,,,,,, ,2024 Chevrolet Blazer EV RWD,,,,,,,,,,,,,,,2024 Chevrolet Blazer EV RWD,,,,,,,,,
2024,General Motors,Chevrolet,BLAZER EV RWD,GMX,234,0.0,,Auto(A1),99,84,92,142,120.5,131.4461,99.4,84.35,92.0123,,,,A,Automatic,A1,1,N,N,R,"2-Wheel Drive, Rear",,,324,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,105,26,,,800,800,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,11/14/2023,34081,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,298,157,Both On-Board and Off-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,Other,AC PERMANANT MAGNET,255,,,,,N,Y,,,N,No,Blazer EV RWD,,,,,,,,,,10,10,,RGMXT00.0006,10,,,,,,,,,,,,,,,5750,,0,0,0,,11,,,,,,348,295,324,
2024,General Motors,Chevrolet,BLAZER EV RWD,GMX,234,0.0,,Auto(A1),34,40,37,23.7295,27.9609,25.6336,33.9085,39.9585,36.631,,,,A,Automatic,A1,1,N,N,R,"2-Wheel Drive, Rear",,,324,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,105,26,,,800,800,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,11/14/2023,34081,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,298,157,Both On-Board and Off-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,Other,AC PERMANANT MAGNET,255,,,,,N,Y,,,N,No,Blazer EV RWD,,,,,,,,,,10,10,,RGMXT00.0006,10,,,,,,,,,,,,,,,5750,,0,0,0,,11,,,,,,348,295,324,
,,,,,,,,,,,,2024 Chevrolet Equinox EV FWD,,,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV FWD,,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV FWD,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV FWD,,,,,,,,,,,,,, ,,2024 Chevrolet Equinox EV FWD,,,,,, ,,,,,,,,,,2024 Chevrolet Equinox EV FWD,,,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV FWD,,,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV FWD,,,,,,,,,,,,,, ,2024 Chevrolet Equinox EV FWD,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV FWD,,,,,,,,,
2024,General Motors,Chevrolet,EQUINOX EV FWD,GMX,239,0.0,,Auto(A1),117,99,108,167.1,142.1,154.8413,116.97,99.47,108.3889,,,,A,Automatic,A1,1,N,N,F,"2-Wheel Drive, Front",,,319,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,700,700,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,1/15/2024,34069,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,335,298,155,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,,1,Other,AC PERMANANT MAGNET,180,,,,,N,Y,,,N,No,Equinox EV FWD,,,,,,,,,,10,10,,RGMXT00.0013,10,,,,,,,,,,,,,,,6250,,0,0,0,,9.4,,,,,,342,291,319,
2024,General Motors,Chevrolet,EQUINOX EV FWD,GMX,239,0.0,,Auto(A1),29,34,31,20.1674,23.7176,21.765,28.8151,33.8846,31.0964,,,,A,Automatic,A1,1,N,N,F,"2-Wheel Drive, Front",,,319,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,700,700,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,1/15/2024,34069,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,335,298,155,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,,1,Other,AC PERMANANT MAGNET,180,,,,,N,Y,,,N,No,Equinox EV FWD,,,,,,,,,,10,10,,RGMXT00.0013,10,,,,,,,,,,,,,,,6250,,0,0,0,,9.4,,,,,,342,291,319,
,,,,,,,,,,,,2024 Chevrolet Equinox EV AWD,,,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV AWD,,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV AWD,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV AWD,,,,,,,,,,,,,, ,,2024 Chevrolet Equinox EV AWD,,,,,, ,,,,,,,,,,2024 Chevrolet Equinox EV AWD,,,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV AWD,,,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV AWD,,,,,,,,,,,,,, ,2024 Chevrolet Equinox EV AWD,,,,,,,,,,,,,,,2024 Chevrolet Equinox EV AWD,,,,,,,,,
2024,General Motors,Chevrolet,EQUINOX EV AWD,GMX,625,0.0,,Auto(A1),101,90,96,144.8,128.7,137.0831,101.36,90.09,95.9582,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,285,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,800,800,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,3/1/2024,34380,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,335,298,156,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,AC Induction,,67 and 180,,,,,N,Y,,,N,No,Equinox EV AWD,,,,,,,,,,10,10,,RGMXT00.0014,10,,,,,,,,,,,,,,,5750,,0,0,0,,9.5,,,,,,300,267,285,
2024,General Motors,Chevrolet,EQUINOX EV AWD,GMX,625,0.0,,Auto(A1),33,37,35,23.2781,26.1907,24.5888,33.2528,37.4126,35.1247,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,285,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,800,800,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,3/1/2024,34380,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,335,298,156,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,AC Induction,,67 and 180,,,,,N,Y,,,N,No,Equinox EV AWD,,,,,,,,,,10,10,,RGMXT00.0014,10,,,,,,,,,,,,,,,5750,,0,0,0,,9.5,,,,,,300,267,285,
,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,, ,,2024 Chevrolet SILVERADO EV,,,,,, ,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,, ,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,
2024,General Motors,Chevrolet,SILVERADO EV,GMX,505,0.0,,Auto(A1),67,59,63,96.1,83.9,90.1979,67.27,58.73,63.1385,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,450,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1200,1200,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,6/1/2023,33032,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,596,174,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,Other,AC PERMANANT MAGNET,191 and 191,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RGMXT00.0005,10,,,,,,,,,,,,,,,3750,,0,0,0,,12.7,,,,,,477,417,450,
2024,General Motors,Chevrolet,SILVERADO EV,GMX,505,0.0,,Auto(A1),50,57,53,35.0819,40.19,37.3805,50.1041,57.3897,53.3826,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,450,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1200,1200,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,6/1/2023,33032,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,596,174,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,Other,AC PERMANANT MAGNET,191 and 191,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RGMXT00.0005,10,,,,,,,,,,,,,,,3750,,0,0,0,,12.7,,,,,,477,417,450,
,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,, ,,2024 Chevrolet SILVERADO EV,,,,,, ,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,, ,2024 Chevrolet SILVERADO EV,,,,,,,,,,,,,,,2024 Chevrolet SILVERADO EV,,,,,,,,,
2024,General Motors,Chevrolet,SILVERADO EV,GMX,506,0.0,,Auto(A1),72,62,67,102.2,88,95.2813,71.54,61.6,66.6969,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,393,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1150,1150,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,9/18/2023,33859,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,290,580,166,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,Other,AC PERMANANT MAGNET,189 and 189,,,,,N,Y,,,N,No,3WT,,,,,,,,,,9,10,,RGMXT00.0005,10,,,,,,,,,,,,,,,4000,,0,0,0,,11,,,,,,419,361,393,
2024,General Motors,Chevrolet,SILVERADO EV,GMX,506,0.0,,Auto(A1),47,55,51,32.9723,38.3187,37.3782,47.1135,54.7159,50.5346,,,,A,Automatic,A1,1,N,N,A,All Wheel Drive,,,393,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1150,1150,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,9/18/2023,33859,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,290,580,166,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,N,,,,,2,Other,AC PERMANANT MAGNET,189 and 189,,,,,N,Y,,,N,No,3WT,,,,,,,,,,9,10,,RGMXT00.0005,10,,,,,,,,,,,,,,,4000,,0,0,0,,11,,,,,,419,361,393,
,,,,,,,,,,,,2024 Fiat 500e,,,,,,,,,,,,,,,,,2024 Fiat 500e,,,,,,,,,,,,,,,,2024 Fiat 500e,,,,,,,,,,,,,,,2024 Fiat 500e,,,,,,,,,,,,,, ,,2024 Fiat 500e,,,,,, ,,,,,,,,,,2024 Fiat 500e,,,,,,,,,,,,,,,,,2024 Fiat 500e,,,,,,,,,,,,,,,,,2024 Fiat 500e,,,,,,,,,,,,,, ,2024 Fiat 500e,,,,,,,,,,,,,,,2024 Fiat 500e,,,,,,,,,
2024,FCA US LLC,FIAT,500e,CRX,613,0.0,,Auto(A1),127,104,116,181.3,148.7,165.0059,126.891,104.088,115.5041,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,149,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,,,72,7,650,650,,,,,,,,,,,,,,,,,,,,,,,2,Minicompact Cars,car,Electric Vehicle 2-cycle label,1/24/2024,34468,,N,N,,,N,N,,,,,,,,Battery(s),,2,Lithium Ion,,352,120,143,On-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,,1,"DC Permanent Magnet, brushless",,87,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,RCRXV00.05P6,10,,,,,,,,,,,,,,,6500,,0,0,0,,6.2,,,,,,162,133,149,
2024,FCA US LLC,FIAT,500e,CRX,613,0.0,,Auto(A1),27,32,29,18.5935,22.6669,20.4265,26.5621,32.3813,29.1808,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,149,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,,,72,7,650,650,,,,,,,,,,,,,,,,,,,,,,,2,Minicompact Cars,car,Electric Vehicle 2-cycle label,1/24/2024,34468,,N,N,,,N,N,,,,,,,,Battery(s),,2,Lithium Ion,,352,120,143,On-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,,1,"DC Permanent Magnet, brushless",,87,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,RCRXV00.05P6,10,,,,,,,,,,,,,,,6500,,0,0,0,,6.2,,,,,,162,133,149,
,,,,,,,,,,,,2024 Fiat 500e All-Season,,,,,,,,,,,,,,,,,2024 Fiat 500e All-Season,,,,,,,,,,,,,,,,2024 Fiat 500e All-Season,,,,,,,,,,,,,,,2024 Fiat 500e All-Season,,,,,,,,,,,,,, ,,2024 Fiat 500e All-Season,,,,,, ,,,,,,,,,,2024 Fiat 500e All-Season,,,,,,,,,,,,,,,,,2024 Fiat 500e All-Season,,,,,,,,,,,,,,,,,2024 Fiat 500e All-Season,,,,,,,,,,,,,, ,2024 Fiat 500e All-Season,,,,,,,,,,,,,,,2024 Fiat 500e All-Season,,,,,,,,,
2024,FCA US LLC,FIAT,500e All Season,CRX,614,0.0,,Auto(A1),121,100,110,172.3,142.9,157.6998,120.61,100.03,110.3899,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,141,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,,,72,7,700,700,,,,,,,,,,,,,,,,,,,,,,,2,Minicompact Cars,car,Electric Vehicle 2-cycle label,1/24/2024,34466,,N,N,,,N,N,,,,,,,,Battery(s),,2,Lithium Ion,,352,120,143,On-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,,1,"DC Permanent Magnet, brushless",,87,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,RCRXV00.05P6,10,,,,,,,,,,,,,,,6250,,0,0,0,,6.2,,,,,,153,127,141,
2024,FCA US LLC,FIAT,500e All Season,CRX,614,0.0,,Auto(A1),28,34,31,19.5641,23.5941,21.3776,27.9454,33.6949,30.5327,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,141,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,,,72,7,700,700,,,,,,,,,,,,,,,,,,,,,,,2,Minicompact Cars,car,Electric Vehicle 2-cycle label,1/24/2024,34466,,N,N,,,N,N,,,,,,,,Battery(s),,2,Lithium Ion,,352,120,143,On-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,,1,"DC Permanent Magnet, brushless",,87,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,RCRXV00.05P6,10,,,,,,,,,,,,,,,6250,,0,0,0,,6.2,,,,,,153,127,141,
,,,,,,,,,,,,2024 Fisker Ocean Sport 20in,,,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 20in,,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 20in,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 20in,,,,,,,,,,,,,, ,,2024 Fisker Ocean Sport 20in,,,,,, ,,,,,,,,,,2024 Fisker Ocean Sport 20in,,,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 20in,,,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 20in,,,,,,,,,,,,,, ,2024 Fisker Ocean Sport 20in,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 20in,,,,,,,,,
