2024,BMW,BMW,330e Sedan,BMX,320,2,4,Auto(S8),24,32,27,34.8,46,39.082,23.7966,31.9159,26.873,,TC,Turbocharged,SA,Semi-Automatic,,8,N,N,R,"2-Wheel Drive, Rear",10,,291,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,94,9,,,1700,1700,69,78,73,98.1,111,103.5135,68.798,77.7106,72.5419,22,EL,Electricity,MPG,miles per gallon,50,,,,,SIDI; PHEV; ,2,2,4,Compact Cars,car,Plug-in Hybrid Label,6/16/2023,33142,,Y,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,354,34,101.3,On-Board,,,Electrical Regen Brake,,Both,N,,,,permanent magnet synchronous machine (PMSM),1,Other,(PMSM),80,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-5C,Charge Sustaining 5-cycle,,,39.3,,,7,8,10,RBMXJ02.0H30,7,,,,,,,,,,,,,,,1250,,330,276,306,158,3,,310,35,45,39,173.3,139.3,158,All Electric Range = 0-22 miles (combined),,,0.478,0.504,0.49,,,,10.6
,,,,,,,,,,,,2024 BMW 330e xDrive Sedan,,,,,,,,,,,,,,,,,2024 BMW 330e xDrive Sedan,,,,,,,,,,,,,,,,2024 BMW 330e xDrive Sedan,,,,,,,,,,,,,,,2024 BMW 330e xDrive Sedan,,,,,,,,,,,,,,,,2024 BMW 330e xDrive Sedan,,,,,,,,,,,,,,,,2024 BMW 330e xDrive Sedan,,,,,,,,,,,,,,,,,2024 BMW 330e xDrive Sedan,,,,,,,,,,,,,,,,,2024 BMW 330e xDrive Sedan,,,,,,,,,,,,,, ,2024 BMW 330e xDrive Sedan,,,,,,,,,,,,,,,2024 BMW 330e xDrive Sedan,,,,,,,,,,,,2024 BMW 330e xDrive Sedan,,,,,,
2024,BMW,BMW,330e xDrive Sedan,BMX,321,2.0,4,Auto(S8),22,32,26,32.2,46,37.2254,22.1326,31.9159,25.6741,,TC,Turbocharged,SA,Semi-Automatic,,8,N,N,A,All Wheel Drive,10,,281,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,94,9,,,1850,1850,47,43,45,34.4,30.4,32.6,46.936,43.329,45.3128,20,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,50,,,,,SIDI; PHEV; ,2,2,4,Compact Cars,car,Plug-in Hybrid Label,6/16/2023,33143,,Y,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,354,34,101.3,On-Board,,,Electrical Regen Brake,,Both,N,,,,permanent magnet synchronous machine (PMSM),1,Other,(PMSM),80,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-5C,Charge Sustaining 5-cycle,,,37.5,,,7,8,,RBMXJ02.0H30,7,,,,,,,,,,,,,,,500,,356,278,321,172,3,,300,31,44,36,195.4,143.8,172,20.51,22.17,21,0.465,0.489,0.476,0,0,0,10.6
2024,BMW,BMW,330e xDrive Sedan,BMX,321,2,4,Auto(S8),22,32,26,32.2,46,37.2254,22.1326,31.9159,25.6741,,TC,Turbocharged,SA,Semi-Automatic,,8,N,N,A,All Wheel Drive,10,,281,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,94,9,,,1850,1850,64,75,68,91.2,106.5,97.5034,64.0224,74.5807,68.3785,20,EL,Electricity,MPG,miles per gallon,50,,,,,SIDI; PHEV; ,2,2,4,Compact Cars,car,Plug-in Hybrid Label,6/16/2023,33143,,Y,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,354,34,101.3,On-Board,,,Electrical Regen Brake,,Both,N,,,,permanent magnet synchronous machine (PMSM),1,Other,(PMSM),80,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-5C,Charge Sustaining 5-cycle,,,37.5,,,7,8,10,RBMXJ02.0H30,7,,,,,,,,,,,,,,,500,,356,278,321,172,3,,300,31,44,36,195.4,143.8,172,All Electric Range = 0-20 miles (combined),,,0.465,0.489,0.476,,,,10.6
,,,,,,,,,,,,2024 BMW XM,,,,,,,,,,,,,,,,,2024 BMW XM,,,,,,,,,,,,,,,,2024 BMW XM,,,,,,,,,,,,,,,2024 BMW XM,,,,,,,,,,,,,,,,2024 BMW XM,,,,,,,,,,,,,,,,2024 BMW XM,,,,,,,,,,,,,,,,,2024 BMW XM,,,,,,,,,,,,,,,,,2024 BMW XM,,,,,,,,,,,,,, ,2024 BMW XM,,,,,,,,,,,,,,,2024 BMW XM,,,,,,,,,,,,2024 BMW XM,,,,,,
2024,BMW,BMW,XM,BMX,900,4.4,8,Auto(S8),12,17,14,14.9,23.1,17.7595,11.8085,16.8858,13.6563,,TC,Turbocharged,SA,Semi-Automatic,,8,N,N,A,All Wheel Drive,10,,268,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,T,Truck,,,,,,,2850,2850,73,73,73,51.3,51.5,51.39,73.2005,73.426,73.302,31,TC,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,2550,,,,,SIDI; PHEV; ,2,2,33,Standard SUV 4WD,,Plug-in Hybrid Label,9/1/2023,33720,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,317,93,139,On-Board,,,Electrical Regen Brake,,Both,Y,,,,permanent magnet synchronous machine (PMSM),1,Other,(PMSM),145,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W30,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-5C,Charge Sustaining 5-cycle,,,,,,5,7,,RBMXT04.4H09,7,,,,,,,,,,,,,,,,4500,0,0,0,244,7,,300,22,27,24,276.3,204.2,244,31.16,30.80,31,0.602,0.595,0.599,0,0,0,18.2
2024,BMW,BMW,XM,BMX,900,4.4,8,Auto(S8),12,17,14,14.9,23.1,17.7595,11.8085,16.8858,13.6563,,TC,Turbocharged,SA,Semi-Automatic,,8,N,N,A,All Wheel Drive,10,,268,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,T,Truck,,,,,,,2850,2850,46,46,46,65.7,65.5,65.6098,46.2913,45.9397,46.1324,31,EL,Electricity,MPG,miles per gallon,2550,,,,,SIDI; PHEV; ,2,2,33,Standard SUV 4WD,,Plug-in Hybrid Label,9/1/2023,33720,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,317,93,139,On-Board,,,Electrical Regen Brake,,Both,Y,,,,permanent magnet synchronous machine (PMSM),1,Other,(PMSM),145,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W30,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-5C,Charge Sustaining 5-cycle,,,,,,5,7,,RBMXT04.4H09,7,,,,,,,,,,,,,,,,4500,718,498,619,244,7,,300,22,27,24,276.3,204.2,244,All Electric Range = 0-31 miles (combined),,,0.602,0.595,0.599,,,,18.2
,,,,,,,,,,,,2024 Alfa Romeo Tonale eAWD,,,,,,,,,,,,,,,,,2024 Alfa Romeo Tonale eAWD,,,,,,,,,,,,,,,,2024 Alfa Romeo Tonale eAWD,,,,,,,,,,,,,,,2024 Alfa Romeo Tonale eAWD,,,,,,,,,,,,,,,,2024 Alfa Romeo Tonale eAWD,,,,,,,,,,,,,,,,2024 Alfa Romeo Tonale eAWD,,,,,,,,,,,,,,,,,2024 Alfa Romeo Tonale eAWD,,,,,,,,,,,,,,,,,2024 Alfa Romeo Tonale eAWD,,,,,,,,,,,,,, ,2024 Alfa Romeo Tonale eAWD,,,,,,,,,,,,,,,2024 Alfa Romeo Tonale eAWD,,,,,,,,,,,,2024 Alfa Romeo Tonale eAWD,,,,,,
2024,FCA US LLC,ALFA ROMEO,Tonale eAWD,CRX,514,1.3,4,Auto(A6),29,29,29,38.1872,45.2455,41.0703,28.8818,28.8699,28.8764,,TC,Turbocharged,A,Automatic,,6,Y,N,A,All Wheel Drive,10,,323,G,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,T,Truck,,,,,,,1350,1350,44,43,44,30.9,30.6,30.765,44.136,43.456,43.83,33,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,1350,,,,,SIDI; PHEV; ,2,2,31,Small SUV 4WD,,Plug-in Hybrid Label,5/26/2023,33208,,N,N,,,N,N,,N,,Y,Mulit-air-electro-hydraulic control,Y,Mulit-air-electro-hydraulic control,Battery(s),,1,Lithium Ion,,304,51,15.5,On-Board,,,Electrical Regen Brake,,Both,N,,,,,1,AC Induction,,89,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W-20,N,No,,CD-2C,Charge Depleting 2-cycle,CS-5C,Charge Sustaining 5-cycle,,,,,,8,9,,RCRXV01.35PH,6,,,,,,,,,,,,,,,3000,,0,0,0,120,4,,360,46,47,47,119.6,120.8,120,32.58,32.55,33,0.613,0.612,0.612,0,0,0,11.2
2024,FCA US LLC,ALFA ROMEO,Tonale eAWD,CRX,514,1.3,4,Auto(A6),29,29,29,38.1872,45.2455,41.0703,28.8818,28.8699,28.8764,,TC,Turbocharged,A,Automatic,,6,Y,N,A,All Wheel Drive,10,,323,G,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,T,Truck,,,,,,,1350,1350,77,77,77,109.2,110,109.5586,76.6279,77.0212,76.8044,33,EL,Electricity,MPG,miles per gallon,1350,,,,,SIDI; PHEV; ,2,2,31,Small SUV 4WD,,Plug-in Hybrid Label,5/26/2023,33208,,N,N,,,N,N,,N,,Y,Mulit-air-electro-hydraulic control,Y,Mulit-air-electro-hydraulic control,Battery(s),,1,Lithium Ion,,304,51,15.5,On-Board,,,Electrical Regen Brake,,Both,N,,,,,1,AC Induction,,89,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W-20,N,No,,CD-2C,Charge Depleting 2-cycle,CS-5C,Charge Sustaining 5-cycle,,,,,,8,9,10,RCRXV01.35PH,6,,,,,,,,,,,,,,,3000,,307,308,307,120,4,,360,46,47,47,119.6,120.8,120,All Electric Range = 0-33 miles (combined),,,0.613,0.612,0.612,,,,11.2
